geo_name,geo_sumlevel,geo_id,violent_crime_2015,violent_crime_2016,violent_crime_2017
"Autauga County, AL","county",05000US01001,253.64,253.64,265.7
"Baldwin County, AL","county",05000US01003,220.67,220.67,216.77
"Barbour County, AL","county",05000US01005,146.89,146.89,328.66
"Bibb County, AL","county",05000US01007,235.95,235.95,147.29
"Blount County, AL","county",05000US01009,219.03,219.03,211.6
"Bullock County, AL","county",05000US01011,283.35,283.35,302.29
"Butler County, AL","county",05000US01013,483.04,483.04,523.44
"Calhoun County, AL","county",05000US01015,504.52,504.52,574.32
"Chambers County, AL","county",05000US01017,553.46,553.46,526.86
"Cherokee County, AL","county",05000US01019,374.37,374.37,383.6
"Chilton County, AL","county",05000US01021,407.4,407.4,345.84
"Choctaw County, AL","county",05000US01023,110.94,110.94,111.42
"Clarke County, AL","county",05000US01025,464.12,464.12,439.43
"Clay County, AL","county",05000US01027,313.03,313.03,352.21
"Cleburne County, AL","county",05000US01029,224.33,224.33,149.93
"Coffee County, AL","county",05000US01031,363.9,363.9,321.16
"Colbert County, AL","county",05000US01033,372.9,372.9,449.59
"Conecuh County, AL","county",05000US01035,612.84,612.84,566.46
"Coosa County, AL","county",05000US01037,290.92,290.92,205.85
"Covington County, AL","county",05000US01039,242.18,242.18,273.13
"Crenshaw County, AL","county",05000US01041,441.53,441.53,500.36
"Cullman County, AL","county",05000US01043,201.19,201.19,169.68
"Dale County, AL","county",05000US01045,395.76,395.76,362.6
"Dallas County, AL","county",05000US01047,781.84,781.84,774.11
"DeKalb County, AL","county",05000US01049,243.43,243.43,331.15
"Elmore County, AL","county",05000US01051,178.73,178.73,275.58
"Escambia County, AL","county",05000US01053,564.87,564.87,483.09
"Etowah County, AL","county",05000US01055,497.87,497.87,544.16
"Fayette County, AL","county",05000US01057,173.68,173.68,178.61
"Franklin County, AL","county",05000US01059,380.02,380.02,345.32
"Geneva County, AL","county",05000US01061,320.11,320.11,342.52
"Greene County, AL","county",05000US01063,1113.41,1113.41,886.36
"Hale County, AL","county",05000US01065,169.64,169.64,193.93
"Henry County, AL","county",05000US01067,318.2,318.2,278.33
"Houston County, AL","county",05000US01069,442.19,442.19,389.83
"Jackson County, AL","county",05000US01071,273.55,273.55,360.99
"Jefferson County, AL","county",05000US01073,717.4,717.4,796.84
"Lamar County, AL","county",05000US01075,49.74,49.74,162.21
"Lauderdale County, AL","county",05000US01077,179.56,179.56,268.11
"Lawrence County, AL","county",05000US01079,194.21,194.21,263.93
"Lee County, AL","county",05000US01081,218.24,218.24,274.75
"Limestone County, AL","county",05000US01083,123.57,123.57,143.26
"Lowndes County, AL","county",05000US01085,554.47,554.47,611
"Macon County, AL","county",05000US01087,625.45,625.45,736.55
"Madison County, AL","county",05000US01089,542.89,542.89,583.72
"Marengo County, AL","county",05000US01091,402.99,402.99,481.29
"Marion County, AL","county",05000US01093,225.98,225.98,289.67
"Marshall County, AL","county",05000US01095,227.86,227.86,212.4
"Mobile County, AL","county",05000US01097,597.08,597.08,549.8
"Monroe County, AL","county",05000US01099,540.43,540.43,488.24
"Montgomery County, AL","county",05000US01101,367.5,367.5,407.71
"Morgan County, AL","county",05000US01103,232.78,232.78,191.52
"Pickens County, AL","county",05000US01107,225.53,225.53,221.08
"Pike County, AL","county",05000US01109,440.39,440.39,448.13
"Randolph County, AL","county",05000US01111,307.52,307.52,182.45
"Russell County, AL","county",05000US01113,457.74,457.74,441.39
"St. Clair County, AL","county",05000US01115,183.49,183.49,176.38
"Shelby County, AL","county",05000US01117,176.94,176.94,180.18
"Sumter County, AL","county",05000US01119,437.39,437.39,486.79
"Talladega County, AL","county",05000US01121,301.66,301.66,368.83
"Tallapoosa County, AL","county",05000US01123,423.05,423.05,478.29
"Tuscaloosa County, AL","county",05000US01125,432.3,432.3,415.37
"Walker County, AL","county",05000US01127,297.12,297.12,414.9
"Washington County, AL","county",05000US01129,290.54,290.54,264.34
"Wilcox County, AL","county",05000US01131,215.54,215.54,418.68
"Winston County, AL","county",05000US01133,217.65,217.65,242.52
"Aleutians West Census Area, AK","county",05000US02016,317.35,317.35,291.57
"Anchorage Municipality, AK","county",05000US02020,823.16,823.16,836.31
"Bristol Bay Borough, AK","county",05000US02060,130.98,130.98,67.29
"Haines Borough, AK","county",05000US02100,413.84,413.84,193.67
"Juneau City and Borough, AK","county",05000US02110,425.5,425.5,444.73
"Ketchikan Gateway Borough, AK","county",05000US02130,351.61,351.61,363.37
"North Slope Borough, AK","county",05000US02185,813.43,813.43,769.42
"Sitka City and Borough, AK","county",05000US02220,226.11,226.11,91.9
"Valdez-Cordova Census Area, AK","county",05000US02261,343.61,343.61,368.27
"Apache County, AZ","county",05000US04001,94.22,94.22,116.14
"Cochise County, AZ","county",05000US04003,607.58,607.58,465.16
"Coconino County, AZ","county",05000US04005,376.42,376.42,337.32
"Gila County, AZ","county",05000US04007,338.94,338.94,348.7
"Graham County, AZ","county",05000US04009,879.14,879.14,430.86
"Greenlee County, AZ","county",05000US04011,632.18,632.18,616.03
"La Paz County, AZ","county",05000US04012,399.43,399.43,358.63
"Maricopa County, AZ","county",05000US04013,398.45,398.45,402.51
"Mohave County, AZ","county",05000US04015,193.33,193.33,197.76
"Navajo County, AZ","county",05000US04017,375.09,375.09,339.59
"Pima County, AZ","county",05000US04019,446.62,446.62,450.37
"Pinal County, AZ","county",05000US04021,214.76,214.76,205.54
"Santa Cruz County, AZ","county",05000US04023,127.71,127.71,110.79
"Yavapai County, AZ","county",05000US04025,332.11,332.11,289.42
"Yuma County, AZ","county",05000US04027,351.56,351.56,376.01
"Arkansas County, AR","county",05000US05001,411.23,411.23,490
"Ashley County, AR","county",05000US05003,275.73,275.73,286.01
"Baxter County, AR","county",05000US05005,99.97,99.97,123.22
"Benton County, AR","county",05000US05007,270.49,270.49,243.89
"Boone County, AR","county",05000US05009,293.24,293.24,370.93
"Bradley County, AR","county",05000US05011,263.93,263.93,252.38
"Calhoun County, AR","county",05000US05013,132.93,132.93,178.56
"Carroll County, AR","county",05000US05015,240.58,240.58,243.08
"Chicot County, AR","county",05000US05017,494.63,494.63,463.57
"Clark County, AR","county",05000US05019,390.69,390.69,306.33
"Clay County, AR","county",05000US05021,87.11,87.11,174.6
"Cleburne County, AR","county",05000US05023,221.41,221.41,248.26
"Cleveland County, AR","county",05000US05025,68.84,68.84,50.24
"Columbia County, AR","county",05000US05027,323.92,323.92,270.3
"Conway County, AR","county",05000US05029,262.26,262.26,236.38
"Craighead County, AR","county",05000US05031,368.58,368.58,374.04
"Crawford County, AR","county",05000US05033,354.34,354.34,324.32
"Crittenden County, AR","county",05000US05035,1764.48,1764.48,1357.36
"Cross County, AR","county",05000US05037,331.33,331.33,521.32
"Dallas County, AR","county",05000US05039,364.81,364.81,438.29
"Desha County, AR","county",05000US05041,830.79,830.79,669.97
"Drew County, AR","county",05000US05043,421.94,421.94,395.66
"Faulkner County, AR","county",05000US05045,299.61,299.61,314.29
"Franklin County, AR","county",05000US05047,304.57,304.57,330.65
"Fulton County, AR","county",05000US05049,208.53,208.53,181.05
"Garland County, AR","county",05000US05051,490.93,490.93,478.16
"Grant County, AR","county",05000US05053,220.79,220.79,221.73
"Greene County, AR","county",05000US05055,295.96,295.96,313.87
"Hempstead County, AR","county",05000US05057,592.51,592.51,619.02
"Howard County, AR","county",05000US05061,269.22,269.22,184.65
"Independence County, AR","county",05000US05063,503.74,503.74,514.79
"Izard County, AR","county",05000US05065,104.97,104.97,181.77
"Jackson County, AR","county",05000US05067,411.14,411.14,484.08
"Jefferson County, AR","county",05000US05069,969.06,969.06,883.4
"Johnson County, AR","county",05000US05071,208.78,208.78,192.9
"Lafayette County, AR","county",05000US05073,143.34,143.34,223.68
"Lawrence County, AR","county",05000US05075,149.41,149.41,141.24
"Lee County, AR","county",05000US05077,198.13,198.13,154.38
"Lincoln County, AR","county",05000US05079,73.61,73.61,123.25
"Little River County, AR","county",05000US05081,205.13,205.13,238.87
"Logan County, AR","county",05000US05083,240.89,240.89,241.79
"Lonoke County, AR","county",05000US05085,349.97,349.97,309.84
"Madison County, AR","county",05000US05087,285.27,285.27,278.22
"Marion County, AR","county",05000US05089,267.64,267.64,331.01
"Miller County, AR","county",05000US05091,750.89,750.89,775.2
"Mississippi County, AR","county",05000US05093,791.51,791.51,867.64
"Monroe County, AR","county",05000US05095,345.42,345.42,269.07
"Montgomery County, AR","county",05000US05097,24.55,24.55,114.62
"Nevada County, AR","county",05000US05099,232.36,232.36,209.64
"Newton County, AR","county",05000US05101,101.66,101.66,275.02
"Ouachita County, AR","county",05000US05103,345.59,345.59,391.44
"Perry County, AR","county",05000US05105,238.75,238.75,396.02
"Phillips County, AR","county",05000US05107,1134.73,1134.73,1243.48
"Pike County, AR","county",05000US05109,147.19,147.19,136.57
"Poinsett County, AR","county",05000US05111,398.87,398.87,363.84
"Polk County, AR","county",05000US05113,295.97,295.97,257.25
"Pope County, AR","county",05000US05115,263.75,263.75,268.36
"Prairie County, AR","county",05000US05117,84.32,84.32,125.49
"Pulaski County, AR","county",05000US05119,1068.37,1068.37,996.46
"Randolph County, AR","county",05000US05121,24.96,24.96,147.34
"St. Francis County, AR","county",05000US05123,512.94,512.94,545.55
"Saline County, AR","county",05000US05125,252.9,252.9,324.33
"Scott County, AR","county",05000US05127,163.48,163.48,253.82
"Searcy County, AR","county",05000US05129,126.43,126.43,166.7
"Sebastian County, AR","county",05000US05131,601.7,601.7,594.5
"Sevier County, AR","county",05000US05133,203.47,203.47,163.57
"Sharp County, AR","county",05000US05135,69.05,69.05,
"Stone County, AR","county",05000US05137,239.79,239.79,231.53
"Union County, AR","county",05000US05139,597.13,597.13,576.51
"Van Buren County, AR","county",05000US05141,300.76,300.76,265.11
"Washington County, AR","county",05000US05143,422.79,422.79,432.79
"White County, AR","county",05000US05145,244.84,244.84,209.15
"Woodruff County, AR","county",05000US05147,33.85,33.85,136.96
"Yell County, AR","county",05000US05149,239.94,239.94,288.32
"Alameda County, CA","county",05000US06001,723.49,723.49,720.31
"Alpine County, CA","county",05000US06003,719.22,719.22,529.57
"Amador County, CA","county",05000US06005,294.08,294.08,278.86
"Butte County, CA","county",05000US06007,304.11,304.11,298.56
"Calaveras County, CA","county",05000US06009,228.93,228.93,255.66
"Colusa County, CA","county",05000US06011,215.92,215.92,199.6
"Contra Costa County, CA","county",05000US06013,396.6,396.6,366.02
"Del Norte County, CA","county",05000US06015,492.59,492.59,582.28
"El Dorado County, CA","county",05000US06017,241.19,241.19,227.61
"Fresno County, CA","county",05000US06019,543.05,543.05,507.12
"Glenn County, CA","county",05000US06021,254.23,254.23,419.24
"Humboldt County, CA","county",05000US06023,333.79,333.79,331.97
"Imperial County, CA","county",05000US06025,303.98,303.98,311.04
"Inyo County, CA","county",05000US06027,393.14,393.14,473.88
"Kern County, CA","county",05000US06029,561.14,561.14,554.99
"Kings County, CA","county",05000US06031,397.88,397.88,477.85
"Lake County, CA","county",05000US06033,512.28,512.28,539.11
"Lassen County, CA","county",05000US06035,353.33,353.33,400.82
"Los Angeles County, CA","county",05000US06037,473.9,473.9,423.79
"Madera County, CA","county",05000US06039,521.35,521.35,616.29
"Marin County, CA","county",05000US06041,202.7,202.7,184.91
"Mariposa County, CA","county",05000US06043,295.95,295.95,419.26
"Mendocino County, CA","county",05000US06045,501.36,501.36,509.63
"Merced County, CA","county",05000US06047,603.68,603.68,614.38
"Modoc County, CA","county",05000US06049,440,440,670.64
"Mono County, CA","county",05000US06051,353.38,353.38,253.82
"Monterey County, CA","county",05000US06053,464.31,464.31,425.45
"Napa County, CA","county",05000US06055,383.63,383.63,340.8
"Nevada County, CA","county",05000US06057,275.64,275.64,332
"Orange County, CA","county",05000US06059,221.06,221.06,203.95
"Placer County, CA","county",05000US06061,203.41,203.41,175.94
"Plumas County, CA","county",05000US06063,533.25,533.25,502.56
"Riverside County, CA","county",05000US06065,305.53,305.53,282.59
"Sacramento County, CA","county",05000US06067,558.64,558.64,523.17
"San Benito County, CA","county",05000US06069,373.11,373.11,381.57
"San Bernardino County, CA","county",05000US06071,430.5,430.5,409.07
"San Diego County, CA","county",05000US06073,367.03,367.03,348.8
"San Francisco County, CA","county",05000US06075,702.66,702.66,792.97
"San Joaquin County, CA","county",05000US06077,839.22,839.22,780.38
"San Luis Obispo County, CA","county",05000US06079,281.91,281.91,379.33
"San Mateo County, CA","county",05000US06081,235.49,235.49,227.56
"Santa Barbara County, CA","county",05000US06083,400.51,400.51,333.3
"Santa Clara County, CA","county",05000US06085,262.14,262.14,253.9
"Santa Cruz County, CA","county",05000US06087,443.37,443.37,394.06
"Shasta County, CA","county",05000US06089,756.97,756.97,690.62
"Sierra County, CA","county",05000US06091,424.43,424.43,380.06
"Siskiyou County, CA","county",05000US06093,293.53,293.53,269.19
"Solano County, CA","county",05000US06095,445.65,445.65,467.66
"Sonoma County, CA","county",05000US06097,366.28,366.28,362.59
"Stanislaus County, CA","county",05000US06099,515.37,515.37,533.08
"Sutter County, CA","county",05000US06101,356.16,356.16,305.91
"Tehama County, CA","county",05000US06103,558.21,558.21,537.58
"Trinity County, CA","county",05000US06105,214.02,214.02,208.55
"Tulare County, CA","county",05000US06107,452.73,452.73,445.78
"Tuolumne County, CA","county",05000US06109,198.99,198.99,220.22
"Ventura County, CA","county",05000US06111,205.02,205.02,205.02
"Yolo County, CA","county",05000US06113,269.25,269.25,317.4
"Yuba County, CA","county",05000US06115,401.08,401.08,386.93
"Adams County, CO","county",05000US08001,415.7,415.7,332.05
"Alamosa County, CO","county",05000US08003,365.87,365.87,
"Arapahoe County, CO","county",05000US08005,322.72,322.72,297.68
"Archuleta County, CO","county",05000US08007,216.57,216.57,193.86
"Baca County, CO","county",05000US08009,121.85,121.85,168.29
"Bent County, CO","county",05000US08011,162.19,162.19,183.32
"Boulder County, CO","county",05000US08013,192.79,192.79,210.46
"Broomfield County, CO","county",05000US08014,61.44,61.44,52.73
"Chaffee County, CO","county",05000US08015,75.77,75.77,81.28
"Cheyenne County, CO","county",05000US08017,35.68,35.68,87.46
"Clear Creek County, CO","county",05000US08019,319.09,319.09,407.63
"Conejos County, CO","county",05000US08021,35.69,35.69,43.9
"Costilla County, CO","county",05000US08023,161.59,161.59,156.12
"Crowley County, CO","county",05000US08025,102.49,102.49,110.45
"Custer County, CO","county",05000US08027,194.6,194.6,116.8
"Delta County, CO","county",05000US08029,153.53,153.53,94.77
"Denver County, CO","county",05000US08031,598.21,598.21,617.33
"Dolores County, CO","county",05000US08033,64.02,64.02,65.56
"Douglas County, CO","county",05000US08035,114.32,114.32,82.27
"Eagle County, CO","county",05000US08037,143.79,143.79,158.67
"Elbert County, CO","county",05000US08039,48.11,48.11,21.65
"El Paso County, CO","county",05000US08041,412.67,412.67,380.1
"Fremont County, CO","county",05000US08043,230.23,230.23,237.87
"Garfield County, CO","county",05000US08045,146.6,146.6,179.44
"Gilpin County, CO","county",05000US08047,296.61,296.61,310.52
"Grand County, CO","county",05000US08049,257.14,257.14,101
"Gunnison County, CO","county",05000US08051,251.42,251.42,204.9
"Hinsdale County, CO","county",05000US08053,39.34,39.34,40.73
"Huerfano County, CO","county",05000US08055,312.92,312.92,420.25
"Jackson County, CO","county",05000US08057,71.41,71.41,97.51
"Jefferson County, CO","county",05000US08059,227.83,227.83,223.43
"Kiowa County, CO","county",05000US08061,69.57,69.57,68.42
"Kit Carson County, CO","county",05000US08063,177.09,177.09,252.99
"Lake County, CO","county",05000US08065,273.83,273.83,237.7
"Larimer County, CO","county",05000US08069,222.7,222.7,207.6
"Las Animas County, CO","county",05000US08071,136.58,136.58,119.29
"Lincoln County, CO","county",05000US08073,151.63,151.63,133.64
"Logan County, CO","county",05000US08075,208.01,208.01,221.57
"Mesa County, CO","county",05000US08077,297.54,297.54,325.17
"Mineral County, CO","county",05000US08079,0,0,92.55
"Moffat County, CO","county",05000US08081,161.57,161.57,135.91
"Montezuma County, CO","county",05000US08083,238.01,238.01,199.57
"Montrose County, CO","county",05000US08085,165.8,165.8,172.11
"Morgan County, CO","county",05000US08087,93.33,93.33,168.15
"Otero County, CO","county",05000US08089,269.15,269.15,149.98
"Ouray County, CO","county",05000US08091,56.59,56.59,40.79
